FIPS,crime,arrest_count_white,arrest_count_black,arrest_count_asian,arrest_count_hispanic
05065,drug,63.0,0.0,0.0,0.0
05065,property,20.0,0.0,0.0,0.0
05065,violent,5.0,0.0,0.0,0.0
05067,drug,183.0,39.0,0.0,0.0
05067,property,139.0,33.0,0.0,0.0
05067,violent,24.0,9.0,0.0,0.0
05067,weapon,29.0,0.0,0.0,0.0
05069,drug,161.0,345.0,0.0,0.0
05069,property,155.0,279.0,1.0,0.0
05069,violent,19.0,115.0,0.0,0.0
05069,weapon,7.0,36.0,0.0,0.0
05071,drug,195.0,9.0,0.0,0.0
05071,property,94.0,3.0,1.0,0.0
05071,violent,5.0,1.0,0.0,0.0
05071,weapon,5.0,0.0,0.0,0.0
05073,drug,15.0,24.0,0.0,0.0
05073,property,0.0,3.0,0.0,0.0
05073,violent,0.0,1.0,0.0,0.0
05073,weapon,1.0,2.0,0.0,0.0
05075,drug,213.0,9.0,0.0,0.0
05075,property,39.0,1.0,0.0,0.0
05075,violent,19.0,0.0,0.0,0.0
05075,weapon,5.0,1.0,0.0,0.0
05077,drug,9.0,93.0,0.0,0.0
05077,property,0.0,24.0,0.0,0.0
05077,violent,1.0,6.0,0.0,0.0
05077,weapon,0.0,4.0,0.0,0.0
05079,drug,24.0,9.0,0.0,0.0
05079,property,6.0,4.0,0.0,0.0
05079,violent,0.0,4.0,0.0,0.0
05079,weapon,2.0,1.0,0.0,0.0
05081,drug,18.0,3.0,0.0,0.0
05081,property,8.0,0.0,0.0,0.0
05081,violent,3.0,2.0,0.0,0.0
05081,weapon,3.0,0.0,0.0,0.0
05083,drug,135.0,0.0,0.0,0.0
05083,property,48.0,1.0,0.0,0.0
05083,violent,11.0,0.0,0.0,0.0
05083,weapon,4.0,0.0,0.0,0.0
05085,drug,723.0,96.0,0.0,0.0
05085,property,276.0,30.0,1.0,0.0
05085,violent,60.0,10.0,0.0,0.0
05085,weapon,19.0,3.0,0.0,0.0
05087,drug,156.0,0.0,0.0,0.0
05087,property,33.0,0.0,1.0,0.0
05087,violent,21.0,0.0,0.0,0.0
05087,weapon,3.0,0.0,0.0,0.0
05089,drug,189.0,9.0,0.0,0.0
05089,property,45.0,0.0,0.0,0.0
05089,violent,20.0,0.0,0.0,0.0
05089,weapon,3.0,0.0,0.0,0.0
05091,drug,297.0,225.0,0.0,0.0
05091,property,425.0,279.0,1.0,0.0
05091,violent,44.0,81.0,0.0,0.0
05091,weapon,15.0,14.0,0.0,0.0
05093,drug,123.0,148.0,0.0,0.0
05093,property,115.0,262.0,0.0,0.0
05093,violent,29.0,110.0,0.0,0.0
05093,weapon,5.0,21.0,0.0,0.0
05095,drug,12.0,9.0,0.0,0.0
05095,property,1.0,4.0,0.0,0.0
05095,violent,5.0,3.0,0.0,0.0
05095,weapon,1.0,2.0,0.0,0.0
05101,drug,42.0,0.0,0.0,0.0
05101,property,5.0,0.0,0.0,0.0
05101,violent,10.0,0.0,0.0,0.0
05101,weapon,1.0,0.0,0.0,0.0
05103,drug,24.0,21.0,0.0,0.0
05103,property,9.0,15.0,0.0,0.0
05103,violent,2.0,2.0,0.0,0.0
05103,weapon,0.0,1.0,0.0,0.0
05105,drug,6.0,3.0,0.0,0.0
05105,property,2.0,0.0,0.0,0.0
05107,drug,57.0,207.0,0.0,0.0
05107,property,42.0,153.0,0.0,0.0
05107,violent,0.0,65.0,0.0,0.0
05107,weapon,4.0,18.0,0.0,0.0
05109,drug,165.0,9.0,0.0,0.0
05109,property,26.0,0.0,0.0,0.0
05109,violent,6.0,0.0,0.0,0.0
05109,weapon,6.0,1.0,0.0,0.0
05111,drug,606.0,123.0,0.0,0.0
05111,property,94.0,19.0,0.0,0.0
05111,violent,23.0,6.0,0.0,0.0
05111,weapon,6.0,0.0,0.0,0.0
05113,drug,162.0,3.0,0.0,0.0
05113,property,108.0,2.0,0.0,0.0
05113,violent,21.0,1.0,0.0,0.0
05113,weapon,3.0,0.0,0.0,0.0
05115,drug,317.0,48.0,4.0,0.0
05115,property,273.0,28.0,0.0,0.0
05115,violent,32.0,6.0,0.0,0.0
05115,weapon,18.0,1.0,0.0,0.0
05117,drug,18.0,0.0,0.0,0.0
05117,property,3.0,0.0,0.0,0.0
05117,violent,3.0,1.0,0.0,0.0
05119,drug,2495.0,3424.0,24.0,0.0
05119,property,1499.0,2130.0,9.0,0.0
05119,violent,232.0,622.0,1.0,0.0
05119,weapon,86.0,178.0,1.0,0.0
05121,drug,177.0,3.0,0.0,0.0
05121,property,51.0,0.0,0.0,0.0
05121,violent,5.0,0.0,0.0,0.0
05121,weapon,2.0,0.0,0.0,0.0
05125,drug,310.0,96.0,3.0,0.0
05125,property,170.0,48.0,0.0,0.0
05125,violent,62.0,9.0,0.0,0.0
05125,weapon,4.0,1.0,0.0,0.0
05127,drug,165.0,3.0,3.0,0.0
05127,property,35.0,0.0,0.0,0.0
05127,violent,13.0,0.0,0.0,0.0
05127,weapon,2.0,0.0,0.0,0.0
05129,drug,59.0,0.0,0.0,0.0
05129,property,4.0,0.0,0.0,0.0
05129,violent,6.0,0.0,0.0,0.0
05129,weapon,1.0,0.0,0.0,0.0
05131,drug,2080.0,552.0,51.0,0.0
05131,property,970.0,151.0,21.0,0.0
05131,violent,196.0,79.0,5.0,0.0
05131,weapon,22.0,10.0,1.0,0.0
05133,drug,51.0,21.0,0.0,0.0
05133,property,18.0,9.0,0.0,0.0
05133,violent,5.0,0.0,0.0,0.0
05133,weapon,2.0,0.0,0.0,0.0
05135,drug,57.0,0.0,0.0,0.0
05135,property,15.0,0.0,0.0,0.0
05135,violent,1.0,0.0,0.0,0.0
05135,weapon,1.0,0.0,0.0,0.0
05137,drug,159.0,3.0,0.0,0.0
05137,property,49.0,0.0,0.0,0.0
05137,violent,8.0,0.0,0.0,0.0
05137,weapon,5.0,0.0,0.0,0.0
05139,drug,108.0,99.0,0.0,0.0
05139,property,85.0,81.0,0.0,0.0
05139,violent,29.0,68.0,0.0,0.0
05139,weapon,13.0,11.0,0.0,0.0
05141,drug,18.0,0.0,0.0,0.0
05141,property,5.0,0.0,0.0,0.0
05141,violent,5.0,0.0,0.0,0.0
05141,weapon,1.0,0.0,0.0,0.0
05143,drug,1852.0,279.0,33.0,0.0
05143,property,468.0,70.0,7.0,0.0
05143,violent,180.0,48.0,1.0,0.0
05143,weapon,32.0,7.0,0.0,0.0
05145,drug,435.0,39.0,0.0,0.0
05145,property,117.0,18.0,0.0,0.0
05145,violent,28.0,1.0,0.0,0.0
05145,weapon,5.0,0.0,0.0,0.0
05147,drug,24.0,0.0,0.0,0.0
05147,property,5.0,9.0,0.0,0.0
05147,violent,3.0,3.0,0.0,0.0
05149,drug,141.0,9.0,0.0,0.0
05149,property,58.0,4.0,0.0,0.0
05149,violent,28.0,4.0,0.0,0.0
05149,weapon,3.0,0.0,0.0,0.0
06001,drug,17185.0,7932.0,1632.0,0.0
06001,property,2546.0,2209.0,461.0,0.0
06001,violent,1587.0,1547.0,284.0,0.0
06001,weapon,448.0,367.0,50.0,0.0
06003,drug,15.0,0.0,0.0,0.0
06003,violent,3.0,0.0,0.0,0.0
06005,drug,609.0,33.0,39.0,0.0
06005,property,48.0,3.0,5.0,0.0
06005,violent,65.0,4.0,4.0,0.0
06005,weapon,18.0,0.0,0.0,0.0
06007,drug,5076.0,333.0,174.0,0.0
06007,property,884.0,49.0,27.0,0.0
06007,violent,554.0,52.0,26.0,0.0
06007,weapon,141.0,6.0,6.0,0.0
06009,drug,846.0,6.0,6.0,0.0
06009,property,81.0,1.0,0.0,0.0
06009,violent,164.0,8.0,1.0,0.0
06009,weapon,45.0,0.0,1.0,0.0
06011,drug,351.0,27.0,6.0,0.0
06011,property,53.0,2.0,2.0,0.0
06011,violent,70.0,3.0,2.0,0.0
06011,weapon,21.0,1.0,0.0,0.0
06013,drug,13662.0,3882.0,273.0,0.0
06013,property,2168.0,1270.0,101.0,0.0
06013,violent,1388.0,920.0,49.0,0.0
06013,weapon,438.0,288.0,17.0,0.0
